  SC16 =  72  the min number of hits =  4
   4d   0.9825    0.0067    42663    43422
  SC16 =  83  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9845    0.0068    41429    42083
   2a   0.9830    0.0070    39286    39965
   3a   0.9838    0.0069    40092    40752
   4a   0.9850    0.0068    42013    42652
   1b   0.9840    0.0068    41266    41939
   2b   0.9837    0.0070    39174    39824
   3b   0.9842    0.0068    41108    41768
   4b   0.9841    0.0067    43388    44088
   1c   0.9851    0.0069    39928    40533
   2c   0.9817    0.0069    39617    40357
   3c   0.9849    0.0069    40390    41008
   4c   0.9863    0.0068    41238    41809
   1d   0.9849    0.0069    39885    40498
   2d   0.9843    0.0070    39092    39717
   3d   0.9828    0.0069    40774    41486
   4d   0.9859    0.0068    41981    42583
  SC16 =  84  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9808    0.0086    25720    26224
   2a   0.9780    0.0088    24341    24889
   3a   0.9834    0.0086    26105    26547
   4a   0.9796    0.0085    26333    26881
   1b   0.9835    0.0087    25276    25699
   2b   0.9816    0.0088    24571    25032
   3b   0.9790    0.0087    25134    25674
   4b   0.9866    0.0086    25969    26323
   1c   0.9851    0.0086    25755    26145
   2c   0.9831    0.0088    24727    25152
   3c   0.9821    0.0086    25863    26335
   4c   0.9813    0.0083    27641    28169
   1d   0.9845    0.0086    26120    26532
   2d   0.9835    0.0088    24676    25090
   3d   0.9805    0.0086    25495    26003
   4d   0.9847    0.0084    27010    27430
  SC16 =  85  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9888    0.0069    41438    41908
   2a   0.9879    0.0070    40115    40608
   3a   0.9885    0.0068    41522    42007
   4a   0.9890    0.0066    44029    44518
   1b   0.9876    0.0068    41537    42059
   2b   0.9883    0.0070    39491    39958
   3b   0.9908    0.0069    40708    41086
   4b   0.9895    0.0068    42674    43128
   1c   0.9893    0.0070    40236    40672
   2c   0.9883    0.0070    39383    39849
   3c   0.9887    0.0068    41897    42374
   4c   0.9901    0.0067    43244    43677
   1d   0.9891    0.0069    40750    41197
   2d   0.9878    0.0070    39719    40209
   3d   0.9901    0.0069    40752    41159
   4d   0.9902    0.0068    42110    42525
  SC16 =  86  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9870    0.0081    29757    30148
   2a   0.9883    0.0082    28618    28958
   3a   0.9879    0.0082    29167    29524
   4a   0.9886    0.0079    30975    31331
   1b   0.9887    0.0081    29794    30133
   2b   0.9876    0.0083    28184    28538
   3b   0.9895    0.0082    29207    29518
   4b   0.9907    0.0080    30271    30555
   1c   0.9883    0.0082    28908    29251
   2c   0.9887    0.0083    28282    28606
   3c   0.9883    0.0081    29827    30181
   4c   0.9916    0.0079    31116    31380
   1d   0.9900    0.0082    29326    29622
   2d   0.9884    0.0082    28561    28897
   3d   0.9898    0.0082    29081    29380
   4d   0.9911    0.0081    29889    30158
  SC16 =  87  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9876    0.0070    39769    40270
   2a   0.9875    0.0071    38079    38561
   3a   0.9886    0.0070    39740    40198
   4a   0.9869    0.0068    41835    42391
   1b   0.9878    0.0070    39538    40027
   2b   0.9871    0.0071    37936    38432
   3b   0.9885    0.0071    38827    39280
   4b   0.9896    0.0069    40393    40817
   1c   0.9887    0.0071    38383    38822
   2c   0.9864    0.0071    37878    38399
   3c   0.9892    0.0070    39772    40205
   4c   0.9899    0.0068    41641    42065
   1d   0.9890    0.0070    39290    39728
   2d   0.9880    0.0071    38495    38964
   3d   0.9888    0.0071    38862    39302
   4d   0.9912    0.0070    40375    40733
  SC16 =  88  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9804    0.0068    41090    41910
   2a   0.9788    0.0068    40437    41311
   3a   0.9787    0.0067    41989    42905
   4a   0.9814    0.0067    42708    43517
   1b   0.9806    0.0068    41179    41993
   2b   0.9786    0.0069    39836    40706
   3b   0.9822    0.0068    40809    41550
   4b   0.9830    0.0068    41869    42592
   1c   0.9790    0.0067    41953    42853
   2c   0.9778    0.0068    40547    41467
   3c   0.9776    0.0067    42426    43398
   4c   0.9781    0.0065    45386    46401
   1d   0.9781    0.0067    42368    43318
   2d   0.9798    0.0069    40395    41227
   3d   0.9794    0.0068    41421    42293
   4d   0.9810    0.0066    43810    44658
  SC16 =  91  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9804    0.0068    41402    42230
   2a   0.9765    0.0068    40606    41582
   3a   0.9816    0.0068    41040    41811
   4a   0.9818    0.0067    42427    43215
   1b   0.9812    0.0068    41383    42176
   2b   0.9785    0.0069    39515    40383
   3b   0.9787    0.0068    41492    42394
   4b   0.9812    0.0067    43091    43918
   1c   0.9774    0.0067    41827    42794
   2c   0.9782    0.0069    40267    41164
   3c   0.9801    0.0068    41027    41862
   4c   0.9801    0.0066    43673    44562
   1d   0.9801    0.0067    42176    43031
   2d   0.9789    0.0068    40435    41308
   3d   0.9774    0.0067    42377    43359
   4d   0.9771    0.0065    44859    45908
  SC16 =  92  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9879    0.0082    28816    29168
   2a   0.9876    0.0084    27450    27795
   3a   0.9881    0.0082    28799    29147
   4a   0.9877    0.0080    30498    30878
   1b   0.9885    0.0082    28573    28904
   2b   0.9881    0.0084    27702    28037
   3b   0.9899    0.0083    28461    28752
   4b   0.9905    0.0081    29726    30012
   1c   0.9891    0.0084    27799    28104
   2c   0.9892    0.0084    27657    27958
   3c   0.9880    0.0082    28644    28991
   4c   0.9903    0.0080    30138    30432
   1d   0.9896    0.0082    28735    29037
   2d   0.9891    0.0084    27680    27984
   3d   0.9903    0.0083    28303    28580
   4d   0.9912    0.0082    29272    29532
  SC16 =  93  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9847    0.0069    40699    41330
   2a   0.9845    0.0070    39280    39898
   3a   0.9220    0.0066    37984    41198
   4a   0.9864    0.0067    43034    43629
   1b   0.9851    0.0069    40603    41216
   2b   0.9841    0.0071    38495    39117
   3b   0.9873    0.0070    39577    40088
   4b   0.9866    0.0068    41684    42250
   1c   0.9859    0.0070    39523    40090
   2c   0.9863    0.0070    39423    39972
   3c   0.9865    0.0069    40785    41343
   4c   0.9865    0.0068    42213    42790
   1d   0.9857    0.0069    40010    40589
   2d   0.9854    0.0070    38880    39456
   3d   0.9859    0.0070    39559    40124
   4d   0.9875    0.0069    40866    41385
  SC16 =  94  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9784    0.0086    25543    26106
   2a   0.9800    0.0087    25262    25777
   3a   0.9850    0.0087    25523    25912
   4a   0.9835    0.0086    26036    26473
   1b   0.9817    0.0087    25195    25664
   2b   0.9768    0.0089    24039    24610
   3b   0.9788    0.0086    25589    26143
   4b   0.9821    0.0085    26527    27010
   1c   0.9822    0.0086    25724    26191
   2c   0.9802    0.0087    24951    25455
   3c   0.9778    0.0087    25174    25746
   4c   0.9810    0.0084    26777    27297
   1d   0.9808    0.0086    25943    26452
   2d   0.9775    0.0088    24528    25093
   3d   0.9799    0.0086    25872    26404
   4d   0.9783    0.0083    27161    27764
  SC16 =  96  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9865    0.0068    42151    42727
   2a   0.9874    0.0070    40062    40574
   3a   0.9890    0.0069    41115    41571
   4a   0.9895    0.0068    42296    42743
   1b   0.9874    0.0068    41364    41890
   2b   0.9864    0.0070    39479    40022
   3b   0.9872    0.0068    41528    42067
   4b   0.9870    0.0067    43749    44326
   1c   0.9898    0.0069    40533    40952
   2c   0.9873    0.0069    40513    41034
   3c   0.9898    0.0069    40908    41329
   4c   0.9903    0.0068    42150    42562
   1d   0.9882    0.0069    40903    41392
   2d   0.9879    0.0070    39634    40121
   3d   0.9862    0.0068    41810    42396
   4d   0.9893    0.0067    43167    43635

